date,temp_max,temp_avg,temp_min,dewPt_max,dewPt_avg,dewPt_min,rh_max,rh_avg,rh_min,wspd_max,wspd_avg,wspd_min,pressure_max,pressure_avg,pressure_min,precip_hrly_max,precip_hrly_avg,precip_hrly_min,wx_phrase
2020-01-01,67,55.09090909090909,44,45,34.59090909090909,26,72,48.0,25,9,3.863636363636364,0,29.26,29.165909090909096,29.06,0.0,0.0,0.0,Fair
2020-01-02,68,56.21739130434783,48,46,42.17391304347826,33,80,61.52173913043478,35,14,3.9130434782608696,0,29.25,29.12434782608696,29.06,0.0,0.0,0.0,Fair
2020-01-03,73,57.375,45,42,38.333333333333336,34,74,52.41666666666666,25,7,1.9583333333333333,0,29.46,29.361666666666665,29.26,0.0,0.0,0.0,Fair
2020-01-04,69,55.0,43,42,38.375,34,76,56.20833333333334,27,7,1.5,0,29.52,29.456666666666663,29.41,0.0,0.0,0.0,Fair
2020-01-05,72,55.56,43,43,34.68,24,74,49.12,17,13,3.56,0,29.47,29.406400000000005,29.34,0.0,0.0,0.0,Fair
2020-01-06,75,58.75,44,33,26.08333333333333,21,53,32.083333333333336,14,8,3.7083333333333335,0,29.48,29.413749999999997,29.39,0.0,0.0,0.0,Fair
2020-01-07,73,59.29166666666666,47,31,23.20833333333333,18,45,26.875,12,10,3.1666666666666665,0,29.39,29.285416666666674,29.2,0.0,0.0,0.0,Partly Cloudy
2020-01-08,61,52.0,44,46,38.607142857142854,31,77,61.14285714285714,41,9,3.4642857142857144,0,29.2,29.15964285714286,29.1,0.0,0.0,0.0,Partly Cloudy
2020-01-09,59,51.555555555555564,46,40,35.37037037037037,32,71,54.88888888888889,40,15,3.703703703703704,0,29.2,29.13,29.05,0.0,0.0,0.0,Cloudy
2020-01-10,64,53.125,45,44,34.125,28,68,50.20833333333334,29,14,4.333333333333333,0,29.41,29.33208333333333,29.21,0.0,0.0,0.0,Fair
2020-01-11,60,50.125,40,46,38.333333333333336,31,80,64.54166666666667,49,8,2.333333333333333,0,29.39,29.292500000000004,29.2,0.0,0.0,0.0,Fair
2020-01-12,61,49.72413793103448,41,47,39.72413793103448,33,86,69.93103448275862,38,8,3.034482758620689,0,29.29,29.23413793103449,29.16,0.0,0.0,0.0,Fair
2020-01-13,61,49.07142857142857,43,46,40.142857142857146,36,85,72.5,41,8,1.2857142857142858,0,29.31,29.250714285714288,29.21,0.0,0.0,0.0,Fair
2020-01-14,62,50.29166666666666,41,46,40.29166666666666,35,83,69.45833333333333,50,7,2.125,0,29.33,29.25500000000001,29.2,0.0,0.0,0.0,Fair
2020-01-15,64,51.125,41,45,40.04166666666666,35,83,67.25,41,8,2.083333333333333,0,29.25,29.17166666666667,29.11,0.0,0.0,0.0,Fair
2020-01-16,57,49.08823529411765,43,45,41.20588235294117,38,90,74.79411764705883,55,15,5.617647058823528,0,29.29,29.1914705882353,29.16,0.0,0.0,0.0,Haze
2020-01-17,59,49.68571428571428,43,46,43.11428571428571,38,97,80.0,48,13,4.485714285714286,0,29.39,29.323714285714296,29.27,0.08,0.006857142857142857,0.0,Partly Cloudy
2020-01-18,69,54.875,42,38,30.25,25,68,42.708333333333336,19,10,3.208333333333333,0,29.39,29.34,29.29,0.0,0.0,0.0,Fair
2020-01-19,72,57.29166666666666,44,35,27.91666666666667,23,53,34.791666666666664,16,9,2.6666666666666665,0,29.33,29.26208333333334,29.19,0.0,0.0,0.0,Fair
2020-01-20,61,56.04166666666666,52,49,41.41666666666666,35,74,58.625,44,10,3.9583333333333335,0,29.28,29.223333333333343,29.19,0.0,0.0,0.0,Cloudy
2020-01-21,59,55.07692307692307,51,49,46.19230769230769,43,83,72.42307692307692,55,9,3.6538461538461537,0,29.34,29.28615384615385,29.25,0.0,0.0,0.0,Cloudy
2020-01-22,64,53.48,45,48,44.8,41,86,73.48,56,7,2.56,0,29.36,29.31559999999999,29.27,0.0,0.0,0.0,Fair
2020-01-23,76,59.0,45,47,41.375,35,86,57.08333333333334,23,10,3.6666666666666665,0,29.33,29.26166666666667,29.18,0.0,0.0,0.0,Fair
2020-01-24,73,59.75,48,50,38.41666666666666,31,75,47.375,27,8,3.0,0,29.21,29.164583333333336,29.1,0.0,0.0,0.0,Partly Cloudy
2020-01-25,72,58.0,46,51,42.375,32,86,58.125,35,7,4.333333333333333,0,29.28,29.198333333333334,29.16,0.0,0.0,0.0,Fair
2020-01-26,62,54.941176470588225,50,52,47.88235294117647,41,94,78.11764705882355,46,13,4.264705882352942,0,29.34,29.297058823529404,29.26,0.0,0.0,0.0,Haze
2020-01-27,74,60.12,50,48,40.08,32,86,54.36,22,14,7.28,0,29.37,29.335200000000004,29.31,0.0,0.0,0.0,Fair
2020-01-28,76,63.88,53,31,26.4,17,41,25.88,11,15,7.56,0,29.36,29.289600000000004,29.2,0.0,0.0,0.0,Fair
2020-01-29,71,63.03703703703704,53,33,21.81481481481481,8,47,23.92592592592593,9,21,8.518518518518519,0,29.24,29.18185185185185,29.13,0.0,0.0,0.0,Fair
2020-01-30,72,59.91666666666666,46,32,22.33333333333333,10,39,24.95833333333333,13,9,3.4166666666666665,0,29.29,29.2575,29.22,0.0,0.0,0.0,Fair
2020-01-31,80,62.625,47,35,30.29166666666667,25,52,32.75,14,9,3.125,0,29.42,29.35541666666667,29.29,0.0,0.0,0.0,Fair
2020-02-01,83,65.9090909090909,52,35,32.31818181818182,29,49,30.95454545454545,14,7,2.6818181818181817,0,29.42,29.34363636363637,29.25,0.0,0.0,0.0,Fair
2020-02-02,69,58.44,50,51,38.36,22,84,49.68,28,16,5.28,0,29.24,29.101999999999997,28.99,0.0,0.0,0.0,Fair
2020-02-03,57,50.875,44,22,12.333333333333336,-6,42,23.125,9,24,17.041666666666668,6,29.14,29.063749999999995,29.01,0.0,0.0,0.0,Fair
2020-02-04,59,51.925925925925924,43,6,-9.481481481481481,-16,22,8.222222222222221,4,20,9.555555555555557,0,29.33,29.25666666666667,29.17,0.0,0.0,0.0,Fair
2020-02-05,60,47.75,35,32,17.666666666666668,9,50,32.0,15,8,3.875,0,29.36,29.316666666666666,29.26,0.0,0.0,0.0,Fair
2020-02-06,64,51.04166666666666,39,38,30.20833333333333,22,67,47.41666666666666,23,8,2.458333333333333,0,29.33,29.286249999999995,29.2,0.0,0.0,0.0,Fair
2020-02-07,68,53.91666666666666,41,43,37.04166666666666,33,73,54.54166666666666,33,8,2.4166666666666665,0,29.28,29.2325,29.18,0.0,0.0,0.0,Fair
2020-02-08,68,54.33333333333334,43,47,40.375,34,83,61.66666666666666,35,10,3.0,0,29.21,29.155000000000005,29.08,0.0,0.0,0.0,Fair
2020-02-09,57,52.59375,50,48,43.78125,26,89,74.03125,30,21,7.59375,0,29.08,29.00656250000001,28.94,0.01,0.00125,0.0,Cloudy
2020-02-10,71,62.08333333333334,56,28,22.58333333333333,17,34,22.70833333333333,16,36,16.791666666666668,0,29.07,29.00624999999999,28.94,0.0,0.0,0.0,Fair
2020-02-11,73,62.7037037037037,52,36,16.77777777777778,3,41,19.296296296296298,6,16,8.037037037037036,0,29.23,29.14666666666667,29.07,0.0,0.0,0.0,Fair
2020-02-12,64,53.26086956521739,42,38,31.73913043478261,26,56,44.69565217391305,33,10,3.0434782608695654,0,29.29,29.23652173913044,29.21,0.0,0.0,0.0,Fair
2020-02-13,68,54.91666666666666,43,41,35.416666666666664,28,74,50.79166666666666,27,8,2.9130434782608696,0,29.27,29.216666666666665,29.16,0.0,0.0,0.0,Fair
2020-02-14,68,54.95833333333334,44,43,36.25,33,71,51.33333333333334,30,10,2.375,0,29.28,29.21875,29.18,0.0,0.0,0.0,Fair
2020-02-15,69,55.45833333333334,43,47,38.16666666666666,33,74,54.70833333333334,30,9,2.6666666666666665,0,29.35,29.302083333333325,29.26,0.0,0.0,0.0,Fair
2020-02-16,71,56.52,45,46,40.68,35,74,57.4,27,13,3.8,0,29.32,29.253199999999996,29.16,0.0,0.0,0.0,Fair
2020-02-17,70,57.5,47,50,42.66666666666666,39,77,59.83333333333334,33,9,4.583333333333333,0,29.17,29.107083333333332,29.04,0.0,0.0,0.0,Fair
2020-02-18,71,55.65714285714286,47,52,47.42857142857143,38,97,76.2,41,9,4.352941176470588,0,29.18,29.145999999999994,29.09,0.0,0.0,0.0,Fog
2020-02-19,68,57.96296296296296,49,52,47.85185185185186,40,87,70.51851851851852,49,10,4.0740740740740735,0,29.25,29.198888888888888,29.17,0.0,0.0,0.0,Fair
2020-02-20,78,62.0,47,49,37.125,28,77,45.45833333333334,16,12,3.208333333333333,0,29.29,29.23041666666667,29.18,0.0,0.0,0.0,Fair
2020-02-21,76,63.16,51,53,38.68,27,78,45.12,18,14,6.64,0,29.23,29.175600000000006,29.1,0.0,0.0,0.0,Partly Cloudy
2020-02-22,62,57.40625,54,50,46.46875,37,83,67.96875,41,13,7.625,0,29.29,29.19468749999999,29.14,0.02,0.001875,0.0,Cloudy
2020-02-23,64,56.44,49,47,45.8,44,86,68.6,52,10,3.92,0,29.44,29.3712,29.3,0.0,0.0,0.0,Fair
2020-02-24,71,57.56,46,51,46.04,40,83,66.88,44,8,1.8,0,29.39,29.3356,29.25,0.0,0.0,0.0,Fair
2020-02-25,82,63.95833333333334,49,49,32.416666666666664,22,77,36.958333333333336,12,13,3.2916666666666665,0,29.41,29.332916666666673,29.29,0.0,0.0,0.0,Fair
2020-02-26,79,63.08333333333334,48,29,22.875,16,46,23.95833333333333,12,10,3.208333333333333,0,29.48,29.405833333333344,29.34,0.0,0.0,0.0,Fair
2020-02-27,82,66.41666666666667,50,30,25.58333333333333,18,44,24.58333333333333,10,7,1.9166666666666667,0,29.36,29.32708333333333,29.29,0.0,0.0,0.0,Fair
2020-02-28,83,69.84,56,33,23.92,13,34,20.28,8,12,3.652173913043478,0,29.32,29.276,29.21,0.0,0.0,0.0,Mostly Cloudy
2020-02-29,69,60.52,53,51,39.32,29,78,47.6,30,13,6.44,0,29.27,29.2064,29.14,0.0,0.0,0.0,Partly Cloudy
